Num Epochs,Output Dim,Margin,Batch Size,Accuracy,Precision,Recall,F1
1000,10,1,16,0.95979021,0.957115387,0.962483203,0.959714419
1000,10,1,32,0.956293706,0.96678197,0.952808392,0.959420888
1000,10,1,64,0.949300699,0.939178618,0.940750841,0.939842979
1000,10,3,16,0.95979021,0.941312075,0.962569537,0.950761176
1000,10,3,32,0.949300699,0.922707619,0.9474417,0.933539921
1000,10,3,64,0.944055944,0.926522622,0.936339077,0.931120542
1000,10,5,16,0.961538462,0.940722386,0.956919159,0.948189859
1000,10,5,32,0.945804196,0.928905145,0.941929402,0.934669249
1000,10,5,64,0.949300699,0.92558756,0.947613586,0.935566635
1000,50,1,16,0.952797203,0.936507955,0.950210989,0.943034462
1000,50,1,32,0.949300699,0.9471459,0.946785324,0.94693244
1000,50,1,64,0.944055944,0.939405009,0.943717483,0.941383066
1000,50,3,16,0.956293706,0.946818934,0.95210924,0.949325276
1000,50,3,32,0.952797203,0.964546099,0.935496954,0.948402634
1000,50,3,64,0.949300699,0.960465085,0.933501546,0.945427725
1000,50,5,16,0.961538462,0.951313761,0.962953642,0.956822952
1000,50,5,32,0.961538462,0.956803979,0.96382468,0.960202482
1000,50,5,64,0.945804196,0.938078192,0.942886775,0.940369146
1000,100,1,16,0.952797203,0.941036401,0.950382876,0.945542576
1000,100,1,32,0.952797203,0.949026054,0.941347945,0.945043286
1000,100,1,64,0.944055944,0.941563722,0.929390779,0.934971987
1000,100,3,16,0.954545455,0.934418862,0.93765509,0.93595882
1000,100,3,32,0.956293706,0.947884628,0.953152166,0.950432325
1000,100,3,64,0.945804196,0.945140732,0.936110364,0.940416357
1000,100,5,16,0.963286713,0.965243465,0.965080605,0.96514992
1000,100,5,32,0.935314685,0.909574653,0.919638603,0.914325576
1000,100,5,64,0.947552448,0.943805881,0.938581101,0.940998878
2000,10,1,16,0.966783217,0.962371981,0.967419786,0.96480669
2000,10,1,32,0.954545455,0.949035628,0.952552616,0.950641377
2000,10,1,64,0.954545455,0.93825498,0.945087876,0.941534045
2000,10,3,16,0.965034965,0.951153784,0.973284828,0.961100958
2000,10,3,32,0.956293706,0.946487792,0.958627429,0.952224316
2000,10,3,64,0.954545455,0.938120812,0.952681727,0.945040511
2000,10,5,16,0.973776224,0.968447514,0.981122258,0.974472462
2000,10,5,32,0.968531469,0.962902168,0.968761264,0.965717877
2000,10,5,64,0.95979021,0.955354701,0.95657783,0.955951184
2000,50,1,16,0.965034965,0.952593754,0.959129229,0.955730326
2000,50,1,32,0.956293706,0.931354169,0.953152166,0.941220214
2000,50,1,64,0.95979021,0.955004971,0.95487853,0.954877289
2000,50,3,16,0.963286713,0.944962495,0.971157864,0.956388757
2000,50,3,32,0.958041958,0.929358083,0.961485499,0.9432481
2000,50,3,64,0.951048951,0.916819473,0.947954915,0.929640833
2000,50,5,16,0.973776224,0.968447514,0.981122258,0.974472462
2000,50,5,32,0.963286713,0.948255728,0.943890375,0.945964377
2000,50,5,64,0.956293706,0.953043789,0.945816536,0.949330625
2000,100,1,16,0.95979021,0.9447346,0.942335898,0.94315323
2000,100,1,32,0.963286713,0.942553969,0.965424379,0.952908584
2000,100,1,64,0.952797203,0.949799631,0.950382876,0.950050336
2000,100,3,16,0.968531469,0.956032145,0.962457738,0.959163765
2000,100,3,32,0.963286713,0.947845047,0.958088749,0.952671883
2000,100,3,64,0.958041958,0.951131489,0.948029052,0.949312432
2000,100,5,16,0.972027972,0.961471008,0.979952667,0.970048853
2000,100,5,32,0.972027972,0.961538037,0.97978078,0.969986251
2000,100,5,64,0.95979021,0.950385079,0.955577681,0.952885483
3000,10,1,16,0.97027972,0.955336086,0.977395595,0.965218248
3000,10,1,32,0.966783217,0.955151785,0.967720784,0.961129017
3000,10,1,64,0.95979021,0.936997433,0.962483203,0.948160458
3000,10,3,16,0.972027972,0.96720823,0.978823407,0.972698769
3000,10,3,32,0.963286713,0.949329951,0.964209567,0.955996647
3000,10,3,64,0.958041958,0.953029527,0.947986276,0.950390464
3000,10,5,16,0.975524476,0.968001783,0.975558214,0.971691577
3000,10,5,32,0.966783217,0.951355922,0.967892671,0.95898325
3000,10,5,64,0.968531469,0.964834587,0.97575312,0.969948391
3000,50,1,16,0.972027972,0.967052311,0.979694446,0.973026352
3000,50,1,32,0.972027972,0.960207177,0.979124405,0.968994692
3000,50,1,64,0.965034965,0.949609027,0.967594119,0.957913651
3000,50,3,16,0.97027972,0.952004482,0.964756588,0.958082183
3000,50,3,32,0.965034965,0.961159522,0.964593671,0.962733249
3000,50,3,64,0.963286713,0.947297804,0.958389747,0.952534883
3000,50,5,16,0.975524476,0.964134367,0.982463735,0.972610774
3000,50,5,32,0.958041958,0.942189917,0.953848872,0.947729357
3000,50,5,64,0.963286713,0.952064699,0.965080605,0.958251907
3000,100,1,16,0.972027972,0.958719204,0.96605529,0.962299247
3000,100,1,32,0.961538462,0.938942675,0.957220156,0.947444204
3000,100,1,64,0.963286713,0.951502278,0.958389747,0.954833093
3000,100,3,16,0.975524476,0.968312168,0.975299992,0.971654575
3000,100,3,32,0.977272727,0.97120028,0.983633326,0.97704233
3000,100,3,64,0.966783217,0.962371981,0.967419786,0.96480669
3000,100,5,16,0.975524476,0.964326395,0.982334624,0.972586959
3000,100,5,32,0.975524476,0.964052288,0.982420959,0.972576618
3000,100,5,64,0.973776224,0.962693292,0.981251368,0.971298873
